alias,categary_alias,categary_title,latitude,longitude,display_phone,,image_url,,location.address1,location.city,name,phone,price,rating,url
bi-rite-creamery-san-francisco,icecream,Desserts,37.761591,-122.425717,(415) 626-5600,,https://s3-media2.fl.yelpcdn.com/bphoto/tLwFRwoq7jOTDBJHc6b5-w/o.jpg,,3692 18th St,San Francisco,Bi-Rite Creamery,14156265600,$,4.5,https://www.yelp.com/biz/bi-rite-creamery-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
brendas-french-soul-food-san-francisco,breakfast_brunch,Breakfast & Brunch,37.7829016,-122.4190434,(415) 345-8100,,https://s3-media3.fl.yelpcdn.com/bphoto/mEzEYZ1lIM6mYfbKgHwCjw/o.jpg,,652 Polk St,San Francisco,Brenda's French Soul Food,14153458100,$$,4,https://www.yelp.com/biz/brendas-french-soul-food-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
gary-danko-san-francisco,newamerican,American,37.80587,-122.42058,(415) 749-2060,,https://s3-media3.fl.yelpcdn.com/bphoto/CAprIoeKQAYV9oUw9xBbmA/o.jpg,,800 N Point St,San Francisco,Gary Danko,14157492060,$$$$,4.5,https://www.yelp.com/biz/gary-danko-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
tartine-bakery-and-cafe-san-francisco,bakeries,Bakeries,37.761425,-122.4240513,(415) 487-2600,,https://s3-media2.fl.yelpcdn.com/bphoto/6XiycXBqBcgyjZ6QwpyEZw/o.jpg,,600 Guerrero St,San Francisco,Tartine Bakery & Cafe,14154872600,$$,4,https://www.yelp.com/biz/tartine-bakery-and-cafe-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
mitchells-ice-cream-san-francisco,icecream,Desserts,37.7442315,-122.422816,(415) 648-2300,,https://s3-media4.fl.yelpcdn.com/bphoto/-BBzTTMsUwK7ZzoANiHYvg/o.jpg,,688 San Jose Ave,San Francisco,Mitchell's Ice Cream,14156482300,$,4.5,https://www.yelp.com/biz/mitchells-ice-cream-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
hog-island-oyster-co-san-francisco,seafood,Seafood,37.795831,-122.393303,(415) 391-7117,,https://s3-media2.fl.yelpcdn.com/bphoto/4avfA7HWOW_Bl0J_8J60rg/o.jpg,,1 Ferry Bldg,San Francisco,Hog Island Oyster Co,14153917117,$$,4.5,https://www.yelp.com/biz/hog-island-oyster-co-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
house-of-prime-rib-san-francisco,tradamerican,American,37.79338,-122.4225,(415) 885-4605,,https://s3-media4.fl.yelpcdn.com/bphoto/HLrjaMoAgYSac0vx71YpCA/o.jpg,,1906 Van Ness Ave,San Francisco,House of Prime Rib,14158854605,$$$,4,https://www.yelp.com/biz/house-of-prime-rib-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
burma-superstar-san-francisco-2,burmese,Burmese,37.78278732,-122.4625397,(415) 387-2147,,https://s3-media2.fl.yelpcdn.com/bphoto/CQljYYJrIWarCxsz02s-7A/o.jpg,,309 Clement St,San Francisco,Burma Superstar,14153872147,$$,4,https://www.yelp.com/biz/burma-superstar-san-francisco-2?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
kokkari-estiatorio-san-francisco,greek,Greek,37.796996,-122.399661,(415) 981-0983,,https://s3-media2.fl.yelpcdn.com/bphoto/7StMTfE2srlcIu2opeTb3g/o.jpg,,200 Jackson St,San Francisco,Kokkari Estiatorio,14159810983,$$$,4.5,https://www.yelp.com/biz/kokkari-estiatorio-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
the-house-san-francisco,asianfusion,Asian Fusion,37.7986203,-122.4070251,(415) 986-8612,,https://s3-media4.fl.yelpcdn.com/bphoto/VzVjR_JpC2Rr3DnuNvwePg/o.jpg,,1230 Grant Ave,San Francisco,The House,14159868612,$$$,4.5,https://www.yelp.com/biz/the-house-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
nopa-san-francisco,newamerican,American,37.77483,-122.43746,(415) 864-8643,,https://s3-media2.fl.yelpcdn.com/bphoto/5vvTnV2Gv8b2FgpsH_zJCg/o.jpg,,560 Divisadero St,San Francisco,Nopa,14158648643,$$$,4,https://www.yelp.com/biz/nopa-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
san-tung-san-francisco-2,chinese,Chinese,37.76367,-122.46896,(415) 242-0828,,https://s3-media4.fl.yelpcdn.com/bphoto/LTtoZ25m8FX1UV37asnTCw/o.jpg,,1031 Irving St,San Francisco,San Tung,14152420828,$$,4,https://www.yelp.com/biz/san-tung-san-francisco-2?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
b-patisserie-san-francisco-2,bakeries,Bakeries,37.78783,-122.44073,(415) 440-1700,,https://s3-media3.fl.yelpcdn.com/bphoto/9FaO-VNIDTfFkstW9quCMA/o.jpg,,2821 California St,San Francisco,B Patisserie,14154401700,$$,4.5,https://www.yelp.com/biz/b-patisserie-san-francisco-2?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
el-farolito-san-francisco-2,mexican,Mexican,37.75265,-122.41812,(415) 824-7877,,https://s3-media1.fl.yelpcdn.com/bphoto/gcC2Uwtu5raP13D3jWYm0Q/o.jpg,,2779 Mission St,San Francisco,El Farolito,14158247877,$,4,https://www.yelp.com/biz/el-farolito-san-francisco-2?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
fog-harbor-fish-house-san-francisco-2,seafood,Seafood,37.809041,-122.410233,(415) 421-2442,,https://s3-media1.fl.yelpcdn.com/bphoto/Lv7tIRX3Bim9bKqtWifmNg/o.jpg,,Pier 39,San Francisco,Fog Harbor Fish House,14154212442,$$,4,https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
